Gene,Control,Resistant,Log2FoldChange,p-value
EYA3,257,380,0.5624199320700679,1.8141818536665456e-14
PTAFR,5,21,1.874469117916141,1.8141818536665456e-14
DNAJC8,972,1492,0.6177024553534297,1.8141818536665456e-14
ATPIF1,3279,3088,-0.08655594387780834,1.8141818536665456e-14
SESN2,246,1115,2.1757540802445097,1.8141818536665456e-14
MED18,100,128,0.3530157726714594,1.8141818536665456e-14
PHACTR4,542,667,0.2988959046696906,1.8141818536665456e-14
SNHG3,4,6,0.48542682717024166,1.8141818536665456e-14
RCC1,789,984,0.31827107127927334,1.8141818536665456e-14
SNORA73B,0,2,1.584962500721156,1.8141818536665456e-14
TRNAU1AP,339,499,0.5563933485243854,1.8141818536665456e-14
SNHG12,396,557,0.49112611468622985,1.8141818536665456e-14
SNORD99,0,9,3.321928094887362,1.8141818536665456e-14
SNORA61,19,39,1.0,1.8141818536665456e-14
SNORA44,1,0,-1.0,1.8141818536665456e-14
SNORA16A,2,0,-1.5849625007211563,1.8141818536665456e-14
RAB42,19,7,-1.3219280948873622,1.8141818536665456e-14
TAF12,41,33,-0.3048545815284209,1.8141818536665456e-14
RNU11,6,4,-0.4854268271702417,1.8141818536665456e-14
GMEB1,124,150,0.27262045466299184,1.8141818536665456e-14
YTHDF2,367,549,0.5797258523550092,1.8141818536665456e-14
EPB41,1182,1010,-0.2266670764367738,1.8141818536665456e-14
TMEM200B,1158,974,-0.24940644236949877,1.8141818536665456e-14
SRSF4,808,832,0.04217679293557011,1.8141818536665456e-14
MECR,183,181,-0.015767315858316675,1.8141818536665456e-14
PTPRU,212,222,0.0661902796944665,1.8141818536665456e-14
MATN1,4,3,-0.3219280948873623,1.8141818536665456e-14
MATN1-AS1,5,0,-2.584962500721156,1.8141818536665456e-14
LAPTM5,1178,1871,0.6670167166036418,1.8141818536665456e-14
SDC3,92,76,-0.27237227041312995,1.8141818536665456e-14
PUM1,737,855,0.213989980340751,1.8141818536665456e-14
NKAIN1,0,3,2.0,1.8141818536665456e-14
SNRNP40,90,62,-0.5305147166987798,1.8141818536665456e-14
ZCCHC17,340,421,0.3074712596830127,1.8141818536665456e-14
FABP3,38,31,-0.28540221886224837,1.8141818536665456e-14
SERINC2,483,956,0.9835118772114311,1.8141818536665456e-14
LINC01226,0,1,1.0,1.8141818536665456e-14
TINAGL1,530,1282,1.2727374042855288,1.8141818536665456e-14
HCRTR1,0,1,1.0,1.8141818536665456e-14
PEF1,208,281,0.4321922203179107,1.8141818536665456e-14
COL16A1,23,33,0.5025003405291834,1.8141818536665456e-14
ADGRB2,10,10,0.0,1.8141818536665456e-14
SPOCD1,57,146,1.3416913497087921,1.8141818536665456e-14
PTP4A2,4417,4709,0.09233364114487085,1.8141818536665456e-14
KHDRBS1,63,99,0.6438561897747247,1.8141818536665456e-14
TMEM39B,602,533,-0.1753182602125309,1.8141818536665456e-14
KPNA6,1705,1627,-0.06751694705204321,1.8141818536665456e-14
TXLNA,373,526,0.49476469174957804,1.8141818536665456e-14
CCDC28B,230,239,0.05514155419246085,1.8141818536665456e-14
IQCC,26,34,0.3743955147814979,1.8141818536665456e-14
DCDC2B,5,3,-0.5849625007211563,1.8141818536665456e-14
TMEM234,25,13,-0.8930847960834881,1.8141818536665456e-14
EIF3I,1282,1010,-0.34373817318666783,1.8141818536665456e-14
MTMR9LP,17,27,0.6374299206152918,1.8141818536665456e-14
FAM167B,2,2,0.0,1.8141818536665456e-14
LCK,0,1,1.0,1.8141818536665456e-14
HDAC1,2385,2422,0.022200361756118368,1.8141818536665456e-14
MARCKSL1,701,642,-0.12665229297661337,1.8141818536665456e-14
FAM229A,38,44,0.20645087746742624,1.8141818536665456e-14
TSSK3,2,1,-0.5849625007211563,1.8141818536665456e-14
BSDC1,338,383,0.17982103758481227,1.8141818536665456e-14
ZBTB8A,343,595,0.7929037657600636,1.8141818536665456e-14
ZBTB8OS,86,154,0.8331809094255092,1.8141818536665456e-14
RBBP4,407,467,0.19793937761190883,1.8141818536665456e-14
SYNC,230,245,0.0907654639231822,1.8141818536665456e-14
KIAA1522,92,122,0.40335569423120843,1.8141818536665456e-14
YARS,536,1289,1.264377072325204,1.8141818536665456e-14
S100PBP,131,191,0.5405683813627028,1.8141818536665456e-14
FNDC5,1,5,1.584962500721156,1.8141818536665456e-14
HPCA,86,74,-0.2141248053528475,1.8141818536665456e-14
TMEM54,166,170,0.034148222411845584,1.8141818536665456e-14
RNF19B,13,12,-0.1069152039165119,1.8141818536665456e-14
AK2,1799,1794,-0.004013062506623351,1.8141818536665456e-14
AZIN2,403,355,-0.18247805178539697,1.8141818536665456e-14
TRIM62,14,21,0.5525410230287786,1.8141818536665456e-14
ZNF362,108,109,0.013175388747733167,1.8141818536665456e-14
PHC2,1128,1075,-0.06936740821637676,1.8141818536665456e-14
ZSCAN20,12,15,0.29956028185890793,1.8141818536665456e-14
C1orf94,0,1,1.0,1.8141818536665456e-14
GJB3,3,17,2.169925001442312,1.8141818536665456e-14
SMIM12,370,415,0.1651643415202889,1.8141818536665456e-14
LOC653160,4,9,1.0,1.8141818536665456e-14
ZMYM6NB,66,105,0.6618312641054267,1.8141818536665456e-14
ZMYM6,54,69,0.3479233034203068,1.8141818536665456e-14
ZMYM1,68,81,0.24902754783991457,1.8141818536665456e-14
SFPQ,3976,5745,0.5308774307273124,1.8141818536665456e-14
ZMYM4,210,215,0.03378831345628328,1.8141818536665456e-14
KIAA0319L,693,677,-0.03365038944191696,1.8141818536665456e-14
NCDN,94,141,0.5798915111737342,1.8141818536665456e-14
TFAP2E,29,36,0.3025627700204313,1.8141818536665456e-14
PSMB2,1150,988,-0.21884540737311958,1.8141818536665456e-14
C1orf216,62,81,0.3802720811181673,1.8141818536665456e-14
CLSPN,1264,891,-0.5040217696613677,1.8141818536665456e-14
AGO4,178,175,-0.024384158626959224,1.8141818536665456e-14
AGO1,92,97,0.07555103300717676,1.8141818536665456e-14
AGO3,15,19,0.32192809488736235,1.8141818536665456e-14
ADPRHL2,519,723,0.4774780740547508,1.8141818536665456e-14
COL8A2,12,55,2.106915203916512,1.8141818536665456e-14
