Gene symbol	MDA-MB-231
SPRR2G	0
LOC101928009	0
LELP1	0
PRR9	0
LOR	0
PGLYRP3	0
PGLYRP4	0
S100A9	0
S100A12	0
S100A8	0
S100A7A	0
S100A7L2	0
S100A7	0
S100A6	122528
S100A5	49
S100A4	31964
LOC101928034	1
S100A3	359
S100A2	1931
S100A16	3546
S100A14	4
S100A13	4014
S100A1	1
CHTOP	779
SNAPIN	1039
ILF2	2406
NPR1	4
INTS3	34
SLC27A3	56
LOC343052	0
GATAD2B	392
DENND4B	215
CRTC2	192
SLC39A1	2232
CREB3L4	111
JTB	2362
RAB13	1486
RPS27	885
NUP210L	0
TPM3	2734
C1orf189	0
C1orf43	1874
UBAP2L	1003
HAX1	1125
AQP10	0
ATP8B2	59
IL6R	89
SHE	1
TDRD10	0
UBE2Q1	511
UBE2Q1-AS1	7
CHRNB2	5
ADAR	1107
KCNN3	15
PMVK	276
PBXIP1	274
PYGO2	923
SHC1	826
CKS1B	6340
FLAD1	194
LENEP	0
ZBTB7B	58
DCST2	1
DCST1	1
LOC100505666	24
ADAM15	4388
EFNA4	115
EFNA3	63
EFNA1	64
SLC50A1	617
DPM3	725
KRTCAP2	969
TRIM46	2
MUC1	425
THBS3	35
MTX1	134
GBAP1	226
GBA	237
FAM189B	343
SCAMP3	407
CLK2	152
HCN3	0
PKLR	47
FDPS	1899
RUSC1-AS1	1862
RUSC1	553
ASH1L	619
POU5F1P4	1
ASH1L-AS1	27
MSTO1	379
MSTO2P	296
YY1AP1	693
DAP3	901
GON4L	431
SYT11	0
RIT1	416
KIAA0907	589
SNORA80E	4
SCARNA4	4
RXFP4	0
ARHGEF2	435
SSR2	1814
UBQLN4	139
LAMTOR2	909
RAB25	0
MEX3A	124
LMNA	4410
SEMA4A	1
SLC25A44	519
PMF1	228
PMF1-BGLAP	37
BGLAP	0
PAQR6	42
SMG5	209
TMEM79	50
GLMP	635
VHLL	0
CCT3	1623
TSACC	30
RHBG	1
C1orf61	0
MEF2D	603
IQGAP3	652
TTC24	0
APOA1BP	858
GPATCH4	1151
HAPLN2	0
BCAN	3
NES	207
CRABP2	103
ISG20L2	754
RRNAD1	72
MRPL24	2513
HDGF	6144
PRCC	284
SH2D2A	22
NTRK1	1
INSRR	0
PEAR1	110
LRRC71	5
ARHGEF11	232
ETV3L	2
ETV3	3
CYCSP52	3
FCRL5	0
FCRL4	0
FCRL3	0
FCRL2	1
FCRL1	1
CD5L	0
KIRREL	82
LOC646268	0
CD1D	0
CD1A	0
CD1C	0
CD1B	0
CD1E	0
OR10T2	0
OR10K2	0
OR10K1	0
OR10R2	0
OR6Y1	0
